origin_iban,dest_iban,origin_re,dest_re,amount,date,origin_is_suspicious,dest_is_suspicious,connection_type
LU953018286742756538,LU191015623440629458,PEER_3,PEER_1,1038.56,2020-06-17,False,True,external
LU501014721736466350,LU591017431097124561,PEER_1,PEER_1,878.37,2020-06-17,True,False,external
LU321014721736466350,LU541017431097124561,PEER_1,PEER_1,878.37,2020-06-17,True,False,external
LU791015623440629458,LU991012305216348360,PEER_1,PEER_1,869.82,2020-06-17,True,False,external
LU851015623440629458,LU461012305216348360,PEER_1,PEER_1,869.82,2020-06-17,True,False,external
LU141015712810430245,LU484013439111420887,PEER_1,PEER_4,767.19,2020-06-17,True,False,external
LU551015712810430245,LU684013439111420887,PEER_1,PEER_4,767.19,2020-06-17,True,False,external
LU361015712810430245,LU774013439111420887,PEER_1,PEER_4,767.19,2020-06-17,True,False,external
LU271014625337818326,LU164013356435810394,PEER_1,PEER_4,738.2,2020-06-17,True,False,external
LU901014625337818326,LU744013356435810394,PEER_1,PEER_4,738.2,2020-06-17,True,False,external
LU121014625337818326,LU354013356435810394,PEER_1,PEER_4,738.2,2020-06-17,True,False,external
LU681015671890114414,LU101012341473405284,PEER_1,PEER_1,728.52,2020-06-17,True,False,external
LU641015671890114414,LU691012341473405284,PEER_1,PEER_1,728.52,2020-06-17,True,False,external
LU882013421135141770,LU571015623440629458,PEER_2,PEER_1,723.9,2020-06-17,False,True,external
LU382013421135141770,LU911015623440629458,PEER_2,PEER_1,723.9,2020-06-17,False,True,external
LU222013421135141770,LU811015623440629458,PEER_2,PEER_1,723.9,2020-06-17,False,True,external
LU781014895844804794,LU702014999033663403,PEER_1,PEER_2,703.27,2020-06-17,True,False,external
LU771014895844804794,LU982014999033663403,PEER_1,PEER_2,703.27,2020-06-17,True,False,external
LU181014895844804794,LU732014999033663403,PEER_1,PEER_2,703.27,2020-06-17,True,False,external
LU821012802486614527,LU561014625337818326,PEER_1,PEER_1,691.67,2020-06-17,False,True,external
LU371012802486614527,LU871014625337818326,PEER_1,PEER_1,691.67,2020-06-17,False,True,external
LU222013011293497749,LU851015496028897470,PEER_2,PEER_1,636.79,2020-06-17,False,True,external
LU992013011293497749,LU771015496028897470,PEER_2,PEER_1,636.79,2020-06-17,False,True,external
LU582013011293497749,LU101015496028897470,PEER_2,PEER_1,636.79,2020-06-17,False,True,external
LU671015137669896747,LU871018259357724091,PEER_1,PEER_1,601.85,2020-06-17,True,False,external
LU901015137669896747,LU771018259357724091,PEER_1,PEER_1,601.85,2020-06-17,True,False,external
LU741014437741072063,LU413011754437977945,PEER_1,PEER_3,582.09,2020-06-17,True,False,external
LU431014437741072063,LU843011754437977945,PEER_1,PEER_3,582.09,2020-06-17,True,False,external
LU301014437741072063,LU213011754437977945,PEER_1,PEER_3,582.09,2020-06-17,True,False,external
LU783012947468683949,LU921014437741072063,PEER_3,PEER_1,545.03,2020-06-17,False,True,external
LU903012947468683949,LU131014437741072063,PEER_3,PEER_1,545.03,2020-06-17,False,True,external
LU833012947468683949,LU551014437741072063,PEER_3,PEER_1,545.03,2020-06-17,False,True,external
LU891012528966800816,LU661015623440629458,PEER_1,PEER_1,446.22,2020-06-17,False,True,external
LU121012528966800816,LU771015623440629458,PEER_1,PEER_1,446.22,2020-06-17,False,True,external
LU601014437741072063,LU913012947468683949,PEER_1,PEER_3,410.37,2020-06-17,True,False,external
LU621014437741072063,LU913012947468683949,PEER_1,PEER_3,410.37,2020-06-17,True,False,external
LU861014437741072063,LU983012947468683949,PEER_1,PEER_3,410.37,2020-06-17,True,False,external
LU711015671890114414,LU752014999033663403,PEER_1,PEER_2,400.63,2020-06-17,True,False,external
LU671015671890114414,LU552014999033663403,PEER_1,PEER_2,400.63,2020-06-17,True,False,external
LU701015671890114414,LU132014999033663403,PEER_1,PEER_2,400.63,2020-06-17,True,False,external
LU131015671890114414,LU171012341473405284,PEER_1,PEER_1,383.63,2020-06-17,True,False,external
LU951015671890114414,LU541012341473405284,PEER_1,PEER_1,383.63,2020-06-17,True,False,external
LU671015496028897470,LU262011749752800609,PEER_1,PEER_2,369.3,2020-06-17,True,False,external
LU971015496028897470,LU402011749752800609,PEER_1,PEER_2,369.3,2020-06-17,True,False,external
LU761015496028897470,LU332011749752800609,PEER_1,PEER_2,369.3,2020-06-17,True,False,external
LU321014895844804794,LU942014999033663403,PEER_1,PEER_2,350.89,2020-06-17,True,False,external
LU951014895844804794,LU962014999033663403,PEER_1,PEER_2,350.89,2020-06-17,True,False,external
LU241014895844804794,LU652014999033663403,PEER_1,PEER_2,350.89,2020-06-17,True,False,external
LU201014625337818326,LU484013007697887117,PEER_1,PEER_4,323.93,2020-06-17,True,False,external
LU611014625337818326,LU894013007697887117,PEER_1,PEER_4,323.93,2020-06-17,True,False,external
LU161014625337818326,LU554013007697887117,PEER_1,PEER_4,323.93,2020-06-17,True,False,external
LU131013275878238921,LU411014437741072063,PEER_1,PEER_1,316.45,2020-06-17,False,True,external
LU471013275878238921,LU801014437741072063,PEER_1,PEER_1,316.45,2020-06-17,False,True,external
LU921014625337818326,LU704013356435810394,PEER_1,PEER_4,313.04,2020-06-17,True,False,external
LU721014625337818326,LU144013356435810394,PEER_1,PEER_4,313.04,2020-06-17,True,False,external
LU241014625337818326,LU874013356435810394,PEER_1,PEER_4,313.04,2020-06-17,True,False,external
LU121015623440629458,LU721013275878238921,PEER_1,PEER_1,292.77,2020-06-17,True,False,external
LU921015623440629458,LU631013275878238921,PEER_1,PEER_1,292.77,2020-06-17,True,False,external
LU891015623440629458,LU743011662345438063,PEER_1,PEER_3,283.33,2020-06-17,True,False,external
LU151015623440629458,LU903011662345438063,PEER_1,PEER_3,283.33,2020-06-17,True,False,external
LU761015623440629458,LU233011662345438063,PEER_1,PEER_3,283.33,2020-06-17,True,False,external
LU824012483535945625,LU131014721736466350,PEER_4,PEER_1,274.14,2020-06-17,False,True,external
LU314012483535945625,LU801014721736466350,PEER_4,PEER_1,274.14,2020-06-17,False,True,external
LU584012483535945625,LU441014721736466350,PEER_4,PEER_1,274.14,2020-06-17,False,True,external
LU391014625337818326,LU244013007697887117,PEER_1,PEER_4,273.04,2020-06-17,True,False,external
LU931014625337818326,LU144013007697887117,PEER_1,PEER_4,273.04,2020-06-17,True,False,external
LU541014625337818326,LU954013007697887117,PEER_1,PEER_4,273.04,2020-06-17,True,False,external
LU593011717156690687,LU641014985659961249,PEER_3,PEER_1,269.67,2020-06-17,False,True,external
LU373011717156690687,LU561014985659961249,PEER_3,PEER_1,269.67,2020-06-17,False,True,external
LU653011717156690687,LU481014985659961249,PEER_3,PEER_1,269.67,2020-06-17,False,True,external
LU251015137669896747,LU531018259357724091,PEER_1,PEER_1,244.33,2020-06-17,True,False,external
LU121015137669896747,LU941018259357724091,PEER_1,PEER_1,244.33,2020-06-17,True,False,external
LU591017431097124561,LU261014721736466350,PEER_1,PEER_1,243.13,2020-06-17,False,True,external
LU391017431097124561,LU101014721736466350,PEER_1,PEER_1,243.13,2020-06-17,False,True,external
LU951014721736466350,LU623014196273119005,PEER_1,PEER_3,227.38,2020-06-17,True,False,external
LU651014721736466350,LU443014196273119005,PEER_1,PEER_3,227.38,2020-06-17,True,False,external
LU121014721736466350,LU753014196273119005,PEER_1,PEER_3,227.38,2020-06-17,True,False,external
LU911014437741072063,LU843011754437977945,PEER_1,PEER_3,209.34,2020-06-17,True,False,external
LU391014437741072063,LU763011754437977945,PEER_1,PEER_3,209.34,2020-06-17,True,False,external
LU811014437741072063,LU823011754437977945,PEER_1,PEER_3,209.34,2020-06-17,True,False,external
LU872014999033663403,LU871015671890114414,PEER_2,PEER_1,209.11,2020-06-17,False,True,external
LU242014999033663403,LU881015671890114414,PEER_2,PEER_1,209.11,2020-06-17,False,True,external
LU952014999033663403,LU731015671890114414,PEER_2,PEER_1,209.11,2020-06-17,False,True,external
LU661014437741072063,LU993012947468683949,PEER_1,PEER_3,208.65,2020-06-17,True,False,external
LU281014437741072063,LU383012947468683949,PEER_1,PEER_3,208.65,2020-06-17,True,False,external
LU581014437741072063,LU663012947468683949,PEER_1,PEER_3,208.65,2020-06-17,True,False,external
LU281015623440629458,LU833016468350919489,PEER_1,PEER_3,204.67,2020-06-17,True,False,external
LU591015623440629458,LU693016468350919489,PEER_1,PEER_3,204.67,2020-06-17,True,False,external
LU361015623440629458,LU843016468350919489,PEER_1,PEER_3,204.67,2020-06-17,True,False,external
LU961015496028897470,LU702011749752800609,PEER_1,PEER_2,201.6,2020-06-17,True,False,external
LU381015496028897470,LU242011749752800609,PEER_1,PEER_2,201.6,2020-06-17,True,False,external
LU221015496028897470,LU102011749752800609,PEER_1,PEER_2,201.6,2020-06-17,True,False,external
LU601015137669896747,LU322012125045965401,PEER_1,PEER_2,199.62,2020-06-17,True,False,external
LU401015137669896747,LU712012125045965401,PEER_1,PEER_2,199.62,2020-06-17,True,False,external
LU241015137669896747,LU742012125045965401,PEER_1,PEER_2,199.62,2020-06-17,True,False,external
LU192011749752800609,LU231015496028897470,PEER_2,PEER_1,193.27,2020-06-17,False,True,external
LU362011749752800609,LU821015496028897470,PEER_2,PEER_1,193.27,2020-06-17,False,True,external
LU592011749752800609,LU661015496028897470,PEER_2,PEER_1,193.27,2020-06-17,False,True,external
LU814013439111420887,LU721015712810430245,PEER_4,PEER_1,186.85,2020-06-17,False,True,external
LU984013439111420887,LU851015712810430245,PEER_4,PEER_1,186.85,2020-06-17,False,True,external
LU134013439111420887,LU471015712810430245,PEER_4,PEER_1,186.85,2020-06-17,False,True,external
LU441015623440629458,LU722014510158471395,PEER_1,PEER_2,169.54,2020-06-17,True,False,external
LU721015623440629458,LU562014510158471395,PEER_1,PEER_2,169.54,2020-06-17,True,False,external
LU671015623440629458,LU172014510158471395,PEER_1,PEER_2,169.54,2020-06-17,True,False,external
LU252013667579443011,LU381014985659961249,PEER_2,PEER_1,161.67,2020-06-17,False,True,external
LU482013667579443011,LU591014985659961249,PEER_2,PEER_1,161.67,2020-06-17,False,True,external
LU262013667579443011,LU681014985659961249,PEER_2,PEER_1,161.67,2020-06-17,False,True,external
LU463011662345438063,LU781015623440629458,PEER_3,PEER_1,134.2,2020-06-17,False,True,external
LU533011662345438063,LU801015623440629458,PEER_3,PEER_1,134.2,2020-06-17,False,True,external
LU953011662345438063,LU201015623440629458,PEER_3,PEER_1,134.2,2020-06-17,False,True,external
LU781014985659961249,LU352013667579443011,PEER_1,PEER_2,133.97,2020-06-17,True,False,external
LU271014985659961249,LU342013667579443011,PEER_1,PEER_2,133.97,2020-06-17,True,False,external
LU311014985659961249,LU812013667579443011,PEER_1,PEER_2,133.97,2020-06-17,True,False,external
LU642012933337751203,LU291015623440629458,PEER_2,PEER_1,126.51,2020-06-17,False,True,external
LU162012933337751203,LU741015623440629458,PEER_2,PEER_1,126.51,2020-06-17,False,True,external
LU622012933337751203,LU951015623440629458,PEER_2,PEER_1,126.51,2020-06-17,False,True,external
LU804013601920612400,LU981015496028897470,PEER_4,PEER_1,124.55,2020-06-17,False,True,external
LU354013601920612400,LU621015496028897470,PEER_4,PEER_1,124.55,2020-06-17,False,True,external
LU624013601920612400,LU461015496028897470,PEER_4,PEER_1,124.55,2020-06-17,False,True,external
LU941015496028897470,LU344013601920612400,PEER_1,PEER_4,119.08,2020-06-17,True,False,external
LU101015496028897470,LU774013601920612400,PEER_1,PEER_4,119.08,2020-06-17,True,False,external
LU601015496028897470,LU374013601920612400,PEER_1,PEER_4,119.08,2020-06-17,True,False,external
LU541015137669896747,LU783014358458591374,PEER_1,PEER_3,114.94,2020-06-17,True,False,external
LU521015137669896747,LU683014358458591374,PEER_1,PEER_3,114.94,2020-06-17,True,False,external
LU661015137669896747,LU663014358458591374,PEER_1,PEER_3,114.94,2020-06-17,True,False,external
LU503011717156690687,LU541014985659961249,PEER_3,PEER_1,112.0,2020-06-17,False,True,external
LU813011717156690687,LU771014985659961249,PEER_3,PEER_1,112.0,2020-06-17,False,True,external
LU553011717156690687,LU841014985659961249,PEER_3,PEER_1,112.0,2020-06-17,False,True,external
LU542014999033663403,LU371014895844804794,PEER_2,PEER_1,98.73,2020-06-17,False,True,external
LU872014999033663403,LU531014895844804794,PEER_2,PEER_1,98.73,2020-06-17,False,True,external
LU252014999033663403,LU351014895844804794,PEER_2,PEER_1,98.73,2020-06-17,False,True,external
LU921015623440629458,LU712013421135141770,PEER_1,PEER_2,96.04,2020-06-17,True,False,external
LU241015623440629458,LU542013421135141770,PEER_1,PEER_2,96.04,2020-06-17,True,False,external
LU911015623440629458,LU542013421135141770,PEER_1,PEER_2,96.04,2020-06-17,True,False,external
LU272014999033663403,LU921015671890114414,PEER_2,PEER_1,95.55,2020-06-17,False,True,external
LU372014999033663403,LU641015671890114414,PEER_2,PEER_1,95.55,2020-06-17,False,True,external
LU462014999033663403,LU961015671890114414,PEER_2,PEER_1,95.55,2020-06-17,False,True,external
LU771012802486614527,LU611014625337818326,PEER_1,PEER_1,92.04,2020-06-17,False,True,external
LU911012802486614527,LU551014625337818326,PEER_1,PEER_1,92.04,2020-06-17,False,True,external
LU491015137669896747,LU551018259357724091,PEER_1,PEER_1,91.78,2020-06-17,True,False,external
LU281015137669896747,LU951018259357724091,PEER_1,PEER_1,91.78,2020-06-17,True,False,external
LU852019179611547556,LU901015137669896747,PEER_2,PEER_1,82.92,2020-06-17,False,True,external
LU922019179611547556,LU381015137669896747,PEER_2,PEER_1,82.92,2020-06-17,False,True,external
LU932019179611547556,LU401015137669896747,PEER_2,PEER_1,82.92,2020-06-17,False,True,external
LU951013275878238921,LU441014437741072063,PEER_1,PEER_1,79.21,2020-06-17,False,True,external
LU911013275878238921,LU461014437741072063,PEER_1,PEER_1,79.21,2020-06-17,False,True,external
LU121015623440629458,LU652011486577556858,PEER_1,PEER_2,67.91,2020-06-17,True,False,external
LU931015623440629458,LU182011486577556858,PEER_1,PEER_2,67.91,2020-06-17,True,False,external
LU281015623440629458,LU602011486577556858,PEER_1,PEER_2,67.91,2020-06-17,True,False,external
LU624012671372790899,LU741015137669896747,PEER_4,PEER_1,66.66,2020-06-17,False,True,external
LU914012671372790899,LU981015137669896747,PEER_4,PEER_1,66.66,2020-06-17,False,True,external
LU384012671372790899,LU151015137669896747,PEER_4,PEER_1,66.66,2020-06-17,False,True,external
LU881014437741072063,LU331013275878238921,PEER_1,PEER_1,54.04,2020-06-17,True,False,external
LU341014437741072063,LU521013275878238921,PEER_1,PEER_1,54.04,2020-06-17,True,False,external
LU651014625337818326,LU961012802486614527,PEER_1,PEER_1,51.8,2020-06-17,True,False,external
LU591014625337818326,LU781012802486614527,PEER_1,PEER_1,51.8,2020-06-17,True,False,external
LU141015712810430245,LU343014482317244639,PEER_1,PEER_3,50.66,2020-06-17,True,False,external
LU841015712810430245,LU163014482317244639,PEER_1,PEER_3,50.66,2020-06-17,True,False,external
LU131015712810430245,LU243014482317244639,PEER_1,PEER_3,50.66,2020-06-17,True,False,external
LU284013601920612400,LU111015496028897470,PEER_4,PEER_1,44.48,2020-06-17,False,True,external
LU894013601920612400,LU531015496028897470,PEER_4,PEER_1,44.48,2020-06-17,False,True,external
LU104013601920612400,LU821015496028897470,PEER_4,PEER_1,44.48,2020-06-17,False,True,external
LU663018286742756538,LU681015623440629458,PEER_3,PEER_1,31.78,2020-06-17,False,True,external
LU643018286742756538,LU691015623440629458,PEER_3,PEER_1,31.78,2020-06-17,False,True,external
LU673018286742756538,LU821015623440629458,PEER_3,PEER_1,31.78,2020-06-17,False,True,external
LU191012811879687269,LU641015712810430245,PEER_1,PEER_1,30.21,2020-06-17,False,True,external
LU391012811879687269,LU491015712810430245,PEER_1,PEER_1,30.21,2020-06-17,False,True,external
LU861015623440629458,LU272013421135141770,PEER_1,PEER_2,24.85,2020-06-17,True,False,external
LU921015623440629458,LU222013421135141770,PEER_1,PEER_2,24.85,2020-06-17,True,False,external
LU741015623440629458,LU132013421135141770,PEER_1,PEER_2,24.85,2020-06-17,True,False,external
LU601014721736466350,LU134011705613954516,PEER_1,PEER_4,19.61,2020-06-17,True,False,external
LU471014721736466350,LU424011705613954516,PEER_1,PEER_4,19.61,2020-06-17,True,False,external
LU981014721736466350,LU614011705613954516,PEER_1,PEER_4,19.61,2020-06-17,True,False,external
LU641015712810430245,LU714013439111420887,PEER_1,PEER_4,16.7,2020-06-17,True,False,external
LU371015712810430245,LU784013439111420887,PEER_1,PEER_4,16.7,2020-06-17,True,False,external
LU251015712810430245,LU714013439111420887,PEER_1,PEER_4,16.7,2020-06-17,True,False,external
LU274013007697887117,LU701014625337818326,PEER_4,PEER_1,13.25,2020-06-17,False,True,external
LU194013007697887117,LU901014625337818326,PEER_4,PEER_1,13.25,2020-06-17,False,True,external
LU424013007697887117,LU351014625337818326,PEER_4,PEER_1,13.25,2020-06-17,False,True,external
LU864019756177985087,LU351015712810430245,PEER_4,PEER_1,10854.44,2020-06-16,False,True,external
LU974019756177985087,LU421015712810430245,PEER_4,PEER_1,10854.44,2020-06-16,False,True,external
LU194019756177985087,LU791015712810430245,PEER_4,PEER_1,10854.44,2020-06-16,False,True,external
LU453012947468683949,LU781014437741072063,PEER_3,PEER_1,4360.86,2020-06-16,False,True,external
LU113012947468683949,LU861014437741072063,PEER_3,PEER_1,4360.86,2020-06-16,False,True,external
LU473012947468683949,LU691014437741072063,PEER_3,PEER_1,4360.86,2020-06-16,False,True,external
LU152013667579443011,LU391014985659961249,PEER_2,PEER_1,4275.04,2020-06-16,False,True,external
LU962013667579443011,LU791014985659961249,PEER_2,PEER_1,4275.04,2020-06-16,False,True,external
LU232013667579443011,LU881014985659961249,PEER_2,PEER_1,4275.04,2020-06-16,False,True,external
LU411015623440629458,LU993018286742756538,PEER_1,PEER_3,3800.46,2020-06-16,True,False,external
LU441015623440629458,LU793018286742756538,PEER_1,PEER_3,3800.46,2020-06-16,True,False,external
LU181015623440629458,LU553018286742756538,PEER_1,PEER_3,3800.46,2020-06-16,True,False,external
LU792013991421487872,LU761015712810430245,PEER_2,PEER_1,2523.35,2020-06-16,False,True,external
LU982013991421487872,LU551015712810430245,PEER_2,PEER_1,2523.35,2020-06-16,False,True,external
LU582013991421487872,LU201015712810430245,PEER_2,PEER_1,2523.35,2020-06-16,False,True,external
LU622013421135141770,LU231015623440629458,PEER_2,PEER_1,2049.51,2020-06-16,False,True,external
LU102013421135141770,LU421015623440629458,PEER_2,PEER_1,2049.51,2020-06-16,False,True,external
LU762013421135141770,LU491015623440629458,PEER_2,PEER_1,2049.51,2020-06-16,False,True,external
LU431012811879687269,LU931015712810430245,PEER_1,PEER_1,1855.08,2020-06-16,False,True,external
LU341012811879687269,LU601015712810430245,PEER_1,PEER_1,1855.08,2020-06-16,False,True,external
LU141013275878238921,LU301015623440629458,PEER_1,PEER_1,1779.54,2020-06-16,False,True,external
LU711013275878238921,LU771015623440629458,PEER_1,PEER_1,1779.54,2020-06-16,False,True,external
LU581014721736466350,LU234011705613954516,PEER_1,PEER_4,1738.98,2020-06-16,True,False,external
LU451014721736466350,LU124011705613954516,PEER_1,PEER_4,1738.98,2020-06-16,True,False,external
LU241014721736466350,LU674011705613954516,PEER_1,PEER_4,1738.98,2020-06-16,True,False,external
LU393011717156690687,LU251014985659961249,PEER_3,PEER_1,1627.67,2020-06-16,False,True,external
LU953011717156690687,LU831014985659961249,PEER_3,PEER_1,1627.67,2020-06-16,False,True,external
LU603011717156690687,LU251014985659961249,PEER_3,PEER_1,1627.67,2020-06-16,False,True,external
LU511015712810430245,LU843014482317244639,PEER_1,PEER_3,1356.77,2020-06-16,True,False,external
LU631015712810430245,LU453014482317244639,PEER_1,PEER_3,1356.77,2020-06-16,True,False,external
LU521015712810430245,LU733014482317244639,PEER_1,PEER_3,1356.77,2020-06-16,True,False,external
LU431015712810430245,LU382013991421487872,PEER_1,PEER_2,1344.87,2020-06-16,True,False,external
LU451015712810430245,LU522013991421487872,PEER_1,PEER_2,1344.87,2020-06-16,True,False,external
LU961015712810430245,LU762013991421487872,PEER_1,PEER_2,1344.87,2020-06-16,True,False,external
LU931012341473405284,LU911015671890114414,PEER_1,PEER_1,1280.07,2020-06-16,False,True,external
LU491012341473405284,LU771015671890114414,PEER_1,PEER_1,1280.07,2020-06-16,False,True,external
LU203011717156690687,LU931014985659961249,PEER_3,PEER_1,1268.81,2020-06-16,False,True,external
LU263011717156690687,LU291014985659961249,PEER_3,PEER_1,1268.81,2020-06-16,False,True,external
LU923011717156690687,LU131014985659961249,PEER_3,PEER_1,1268.81,2020-06-16,False,True,external
LU314012483535945625,LU721014721736466350,PEER_4,PEER_1,1122.71,2020-06-16,False,True,external
LU844012483535945625,LU241014721736466350,PEER_4,PEER_1,1122.71,2020-06-16,False,True,external
LU314012483535945625,LU551014721736466350,PEER_4,PEER_1,1122.71,2020-06-16,False,True,external
LU694013007697887117,LU991014625337818326,PEER_4,PEER_1,1082.32,2020-06-16,False,True,external
LU324013007697887117,LU861014625337818326,PEER_4,PEER_1,1082.32,2020-06-16,False,True,external
LU894013007697887117,LU101014625337818326,PEER_4,PEER_1,1082.32,2020-06-16,False,True,external
LU933011754437977945,LU451014437741072063,PEER_3,PEER_1,1039.04,2020-06-16,False,True,external
LU713011754437977945,LU461014437741072063,PEER_3,PEER_1,1039.04,2020-06-16,False,True,external
LU203011754437977945,LU201014437741072063,PEER_3,PEER_1,1039.04,2020-06-16,False,True,external
LU401015496028897470,LU692013011293497749,PEER_1,PEER_2,991.44,2020-06-16,True,False,external
LU401015496028897470,LU562013011293497749,PEER_1,PEER_2,991.44,2020-06-16,True,False,external
LU761015496028897470,LU742013011293497749,PEER_1,PEER_2,991.44,2020-06-16,True,False,external
LU452011749752800609,LU321015496028897470,PEER_2,PEER_1,974.01,2020-06-16,False,True,external
LU152011749752800609,LU391015496028897470,PEER_2,PEER_1,974.01,2020-06-16,False,True,external
LU632011749752800609,LU131015496028897470,PEER_2,PEER_1,974.01,2020-06-16,False,True,external
LU351013275878238921,LU821015623440629458,PEER_1,PEER_1,957.52,2020-06-16,False,True,external
LU851013275878238921,LU511015623440629458,PEER_1,PEER_1,957.52,2020-06-16,False,True,external
LU501015496028897470,LU284013601920612400,PEER_1,PEER_4,850.77,2020-06-16,True,False,external
LU681015496028897470,LU184013601920612400,PEER_1,PEER_4,850.77,2020-06-16,True,False,external
LU401015496028897470,LU354013601920612400,PEER_1,PEER_4,850.77,2020-06-16,True,False,external
LU783018286742756538,LU691015623440629458,PEER_3,PEER_1,845.01,2020-06-16,False,True,external
LU753018286742756538,LU541015623440629458,PEER_3,PEER_1,845.01,2020-06-16,False,True,external
LU393018286742756538,LU361015623440629458,PEER_3,PEER_1,845.01,2020-06-16,False,True,external
LU631014437741072063,LU213011754437977945,PEER_1,PEER_3,838.44,2020-06-16,True,False,external
LU471014437741072063,LU993011754437977945,PEER_1,PEER_3,838.44,2020-06-16,True,False,external
LU811014437741072063,LU233011754437977945,PEER_1,PEER_3,838.44,2020-06-16,True,False,external
LU243011662345438063,LU931015623440629458,PEER_3,PEER_1,762.69,2020-06-16,False,True,external
LU683011662345438063,LU651015623440629458,PEER_3,PEER_1,762.69,2020-06-16,False,True,external
LU673011662345438063,LU431015623440629458,PEER_3,PEER_1,762.69,2020-06-16,False,True,external
LU842014510158471395,LU471015623440629458,PEER_2,PEER_1,757.57,2020-06-16,False,True,external
LU832014510158471395,LU501015623440629458,PEER_2,PEER_1,757.57,2020-06-16,False,True,external
LU332014510158471395,LU281015623440629458,PEER_2,PEER_1,757.57,2020-06-16,False,True,external
LU471015496028897470,LU762013011293497749,PEER_1,PEER_2,733.26,2020-06-16,True,False,external
LU731015496028897470,LU532013011293497749,PEER_1,PEER_2,733.26,2020-06-16,True,False,external
LU361015496028897470,LU852013011293497749,PEER_1,PEER_2,733.26,2020-06-16,True,False,external
LU101012528966800816,LU291015623440629458,PEER_1,PEER_1,724.23,2020-06-16,False,True,external
LU741012528966800816,LU581015623440629458,PEER_1,PEER_1,724.23,2020-06-16,False,True,external
LU531015712810430245,LU762013991421487872,PEER_1,PEER_2,694.02,2020-06-16,True,False,external
LU281015712810430245,LU932013991421487872,PEER_1,PEER_2,694.02,2020-06-16,True,False,external
LU221015712810430245,LU752013991421487872,PEER_1,PEER_2,694.02,2020-06-16,True,False,external
