origin_iban,dest_iban,origin_re,dest_re,amount,date,connection_type
LU533016075746232416,LU411015623440629458,PEER_3,PEER_1,87.44,2020-06-16,suspicious_to_suspicious
LU213016075746232416,LU421015623440629458,PEER_3,PEER_1,87.44,2020-06-16,suspicious_to_suspicious
LU103016075746232416,LU271015623440629458,PEER_3,PEER_1,87.44,2020-06-16,suspicious_to_suspicious
LU913016219560747099,LU301014895844804794,PEER_3,PEER_1,80.87,2020-06-16,suspicious_to_suspicious
LU123016219560747099,LU401014895844804794,PEER_3,PEER_1,80.87,2020-06-16,suspicious_to_suspicious
LU343016219560747099,LU201014895844804794,PEER_3,PEER_1,80.87,2020-06-16,suspicious_to_suspicious
LU621015623440629458,LU223016219560747099,PEER_1,PEER_3,33.41,2020-06-16,suspicious_to_suspicious
LU351015623440629458,LU883016219560747099,PEER_1,PEER_3,33.41,2020-06-16,suspicious_to_suspicious
LU821015623440629458,LU213016219560747099,PEER_1,PEER_3,33.41,2020-06-16,suspicious_to_suspicious
LU363016219560747099,LU851014895844804794,PEER_3,PEER_1,23.93,2020-06-16,suspicious_to_suspicious
LU803016219560747099,LU361014895844804794,PEER_3,PEER_1,23.93,2020-06-16,suspicious_to_suspicious
LU233016219560747099,LU981014895844804794,PEER_3,PEER_1,23.93,2020-06-16,suspicious_to_suspicious
LU141015623440629458,LU843016075746232416,PEER_1,PEER_3,5614.46,2020-06-15,suspicious_to_suspicious
LU341015623440629458,LU843016075746232416,PEER_1,PEER_3,5614.46,2020-06-15,suspicious_to_suspicious
LU611015623440629458,LU663016075746232416,PEER_1,PEER_3,5614.46,2020-06-15,suspicious_to_suspicious
LU801014625337818326,LU593015707251089856,PEER_1,PEER_3,5456.86,2020-06-15,suspicious_to_suspicious
LU261014625337818326,LU183015707251089856,PEER_1,PEER_3,5456.86,2020-06-15,suspicious_to_suspicious
LU811014625337818326,LU203015707251089856,PEER_1,PEER_3,5456.86,2020-06-15,suspicious_to_suspicious
LU951015623440629458,LU513016219560747099,PEER_1,PEER_3,4766.85,2020-06-15,suspicious_to_suspicious
LU801015623440629458,LU833016219560747099,PEER_1,PEER_3,4766.85,2020-06-15,suspicious_to_suspicious
LU231015623440629458,LU473016219560747099,PEER_1,PEER_3,4766.85,2020-06-15,suspicious_to_suspicious
LU301015623440629458,LU233016219560747099,PEER_1,PEER_3,1442.62,2020-06-15,suspicious_to_suspicious
LU861015623440629458,LU153016219560747099,PEER_1,PEER_3,1442.62,2020-06-15,suspicious_to_suspicious
LU501015623440629458,LU313016219560747099,PEER_1,PEER_3,1442.62,2020-06-15,suspicious_to_suspicious
LU341015623440629458,LU611014895844804794,PEER_1,PEER_1,566.82,2020-06-15,suspicious_to_suspicious
LU521015623440629458,LU601014895844804794,PEER_1,PEER_1,566.82,2020-06-15,suspicious_to_suspicious
LU101014895844804794,LU343016219560747099,PEER_1,PEER_3,318.32,2020-06-15,suspicious_to_suspicious
LU411014895844804794,LU803016219560747099,PEER_1,PEER_3,318.32,2020-06-15,suspicious_to_suspicious
LU641014895844804794,LU653016219560747099,PEER_1,PEER_3,318.32,2020-06-15,suspicious_to_suspicious
LU403016219560747099,LU681014895844804794,PEER_3,PEER_1,301.96,2020-06-15,suspicious_to_suspicious
LU953016219560747099,LU261014895844804794,PEER_3,PEER_1,301.96,2020-06-15,suspicious_to_suspicious
LU993016219560747099,LU741014895844804794,PEER_3,PEER_1,301.96,2020-06-15,suspicious_to_suspicious
LU391014625337818326,LU243015707251089856,PEER_1,PEER_3,248.76,2020-06-15,suspicious_to_suspicious
LU281014625337818326,LU493015707251089856,PEER_1,PEER_3,248.76,2020-06-15,suspicious_to_suspicious
LU111014625337818326,LU153015707251089856,PEER_1,PEER_3,248.76,2020-06-15,suspicious_to_suspicious
LU342016527894869925,LU431015496028897470,PEER_2,PEER_1,230.59,2020-06-15,suspicious_to_suspicious
LU742016527894869925,LU361015496028897470,PEER_2,PEER_1,230.59,2020-06-15,suspicious_to_suspicious
LU972016527894869925,LU501015496028897470,PEER_2,PEER_1,230.59,2020-06-15,suspicious_to_suspicious
LU951014895844804794,LU231015623440629458,PEER_1,PEER_1,1665.46,2020-06-12,suspicious_to_suspicious
LU731014895844804794,LU631015623440629458,PEER_1,PEER_1,1665.46,2020-06-12,suspicious_to_suspicious
LU251014895844804794,LU563016219560747099,PEER_1,PEER_3,1505.37,2020-06-12,suspicious_to_suspicious
LU651014895844804794,LU483016219560747099,PEER_1,PEER_3,1505.37,2020-06-12,suspicious_to_suspicious
LU611014895844804794,LU313016219560747099,PEER_1,PEER_3,1505.37,2020-06-12,suspicious_to_suspicious
LU561014895844804794,LU443016219560747099,PEER_1,PEER_3,1482.67,2020-06-12,suspicious_to_suspicious
LU261014895844804794,LU233016219560747099,PEER_1,PEER_3,1482.67,2020-06-12,suspicious_to_suspicious
LU201014895844804794,LU183016219560747099,PEER_1,PEER_3,1482.67,2020-06-12,suspicious_to_suspicious
LU673016075746232416,LU111015623440629458,PEER_3,PEER_1,1460.66,2020-06-12,suspicious_to_suspicious
LU653016075746232416,LU601015623440629458,PEER_3,PEER_1,1460.66,2020-06-12,suspicious_to_suspicious
LU473016075746232416,LU581015623440629458,PEER_3,PEER_1,1460.66,2020-06-12,suspicious_to_suspicious
LU232016527894869925,LU631015496028897470,PEER_2,PEER_1,1130.18,2020-06-12,suspicious_to_suspicious
LU502016527894869925,LU921015496028897470,PEER_2,PEER_1,1130.18,2020-06-12,suspicious_to_suspicious
LU642016527894869925,LU501015496028897470,PEER_2,PEER_1,1130.18,2020-06-12,suspicious_to_suspicious
LU671015623440629458,LU521014895844804794,PEER_1,PEER_1,1007.6,2020-06-12,suspicious_to_suspicious
LU621015623440629458,LU941014895844804794,PEER_1,PEER_1,1007.6,2020-06-12,suspicious_to_suspicious
LU962016527894869925,LU451015496028897470,PEER_2,PEER_1,901.13,2020-06-12,suspicious_to_suspicious
LU792016527894869925,LU981015496028897470,PEER_2,PEER_1,901.13,2020-06-12,suspicious_to_suspicious
LU942016527894869925,LU701015496028897470,PEER_2,PEER_1,901.13,2020-06-12,suspicious_to_suspicious
LU161015496028897470,LU492016527894869925,PEER_1,PEER_2,510.49,2020-06-12,suspicious_to_suspicious
LU581015496028897470,LU422016527894869925,PEER_1,PEER_2,510.49,2020-06-12,suspicious_to_suspicious
LU841015496028897470,LU232016527894869925,PEER_1,PEER_2,510.49,2020-06-12,suspicious_to_suspicious
LU822016527894869925,LU721015496028897470,PEER_2,PEER_1,441.22,2020-06-12,suspicious_to_suspicious
LU872016527894869925,LU251015496028897470,PEER_2,PEER_1,441.22,2020-06-12,suspicious_to_suspicious
LU112016527894869925,LU101015496028897470,PEER_2,PEER_1,441.22,2020-06-12,suspicious_to_suspicious
LU922016527894869925,LU351015496028897470,PEER_2,PEER_1,364.71,2020-06-12,suspicious_to_suspicious
LU282016527894869925,LU391015496028897470,PEER_2,PEER_1,364.71,2020-06-12,suspicious_to_suspicious
LU992016527894869925,LU281015496028897470,PEER_2,PEER_1,364.71,2020-06-12,suspicious_to_suspicious
LU903016219560747099,LU131015623440629458,PEER_3,PEER_1,349.88,2020-06-12,suspicious_to_suspicious
LU813016219560747099,LU391015623440629458,PEER_3,PEER_1,349.88,2020-06-12,suspicious_to_suspicious
LU503016219560747099,LU251015623440629458,PEER_3,PEER_1,349.88,2020-06-12,suspicious_to_suspicious
LU421014895844804794,LU941015623440629458,PEER_1,PEER_1,330.85,2020-06-12,suspicious_to_suspicious
LU101014895844804794,LU791015623440629458,PEER_1,PEER_1,330.85,2020-06-12,suspicious_to_suspicious
LU333016075746232416,LU201015623440629458,PEER_3,PEER_1,263.38,2020-06-12,suspicious_to_suspicious
LU603016075746232416,LU411015623440629458,PEER_3,PEER_1,263.38,2020-06-12,suspicious_to_suspicious
LU743016075746232416,LU611015623440629458,PEER_3,PEER_1,263.38,2020-06-12,suspicious_to_suspicious
LU851014895844804794,LU401015623440629458,PEER_1,PEER_1,248.17,2020-06-12,suspicious_to_suspicious
LU161014895844804794,LU991015623440629458,PEER_1,PEER_1,248.17,2020-06-12,suspicious_to_suspicious
LU203016075746232416,LU391015623440629458,PEER_3,PEER_1,143.16,2020-06-12,suspicious_to_suspicious
LU643016075746232416,LU741015623440629458,PEER_3,PEER_1,143.16,2020-06-12,suspicious_to_suspicious
LU583016075746232416,LU151015623440629458,PEER_3,PEER_1,143.16,2020-06-12,suspicious_to_suspicious
LU351014895844804794,LU373016219560747099,PEER_1,PEER_3,139.45,2020-06-12,suspicious_to_suspicious
LU571014895844804794,LU353016219560747099,PEER_1,PEER_3,139.45,2020-06-12,suspicious_to_suspicious
LU941014895844804794,LU153016219560747099,PEER_1,PEER_3,139.45,2020-06-12,suspicious_to_suspicious
LU753016219560747099,LU271015623440629458,PEER_3,PEER_1,46.65,2020-06-12,suspicious_to_suspicious
LU413016219560747099,LU471015623440629458,PEER_3,PEER_1,46.65,2020-06-12,suspicious_to_suspicious
LU813016219560747099,LU881015623440629458,PEER_3,PEER_1,46.65,2020-06-12,suspicious_to_suspicious
LU872016527894869925,LU111015496028897470,PEER_2,PEER_1,406.5,2020-06-11,suspicious_to_suspicious
LU462016527894869925,LU171015496028897470,PEER_2,PEER_1,406.5,2020-06-11,suspicious_to_suspicious
LU672016527894869925,LU951015496028897470,PEER_2,PEER_1,406.5,2020-06-11,suspicious_to_suspicious
LU623016075746232416,LU601015623440629458,PEER_3,PEER_1,247.76,2020-06-11,suspicious_to_suspicious
LU373016075746232416,LU221015623440629458,PEER_3,PEER_1,247.76,2020-06-11,suspicious_to_suspicious
LU833016075746232416,LU871015623440629458,PEER_3,PEER_1,247.76,2020-06-11,suspicious_to_suspicious
LU721015623440629458,LU941014895844804794,PEER_1,PEER_1,244.39,2020-06-11,suspicious_to_suspicious
LU811015623440629458,LU911014895844804794,PEER_1,PEER_1,244.39,2020-06-11,suspicious_to_suspicious
LU141014625337818326,LU553015707251089856,PEER_1,PEER_3,181.65,2020-06-11,suspicious_to_suspicious
LU341014625337818326,LU393015707251089856,PEER_1,PEER_3,181.65,2020-06-11,suspicious_to_suspicious
LU581014625337818326,LU463015707251089856,PEER_1,PEER_3,181.65,2020-06-11,suspicious_to_suspicious
LU581014895844804794,LU631015623440629458,PEER_1,PEER_1,172.24,2020-06-11,suspicious_to_suspicious
LU191014895844804794,LU561015623440629458,PEER_1,PEER_1,172.24,2020-06-11,suspicious_to_suspicious
LU503015707251089856,LU111014625337818326,PEER_3,PEER_1,158.04,2020-06-11,suspicious_to_suspicious
LU163015707251089856,LU631014625337818326,PEER_3,PEER_1,158.04,2020-06-11,suspicious_to_suspicious
LU813015707251089856,LU311014625337818326,PEER_3,PEER_1,158.04,2020-06-11,suspicious_to_suspicious
LU951015623440629458,LU963016075746232416,PEER_1,PEER_3,99.85,2020-06-11,suspicious_to_suspicious
LU341015623440629458,LU663016075746232416,PEER_1,PEER_3,99.85,2020-06-11,suspicious_to_suspicious
LU511015623440629458,LU483016075746232416,PEER_1,PEER_3,99.85,2020-06-11,suspicious_to_suspicious
LU863016219560747099,LU511014895844804794,PEER_3,PEER_1,72.06,2020-06-11,suspicious_to_suspicious
LU573016219560747099,LU241014895844804794,PEER_3,PEER_1,72.06,2020-06-11,suspicious_to_suspicious
LU653016219560747099,LU981014895844804794,PEER_3,PEER_1,72.06,2020-06-11,suspicious_to_suspicious
LU223016219560747099,LU181014895844804794,PEER_3,PEER_1,44.81,2020-06-11,suspicious_to_suspicious
LU833016219560747099,LU801014895844804794,PEER_3,PEER_1,44.81,2020-06-11,suspicious_to_suspicious
LU813016219560747099,LU201014895844804794,PEER_3,PEER_1,44.81,2020-06-11,suspicious_to_suspicious
LU861014895844804794,LU561015623440629458,PEER_1,PEER_1,41.78,2020-06-11,suspicious_to_suspicious
LU531014895844804794,LU781015623440629458,PEER_1,PEER_1,41.78,2020-06-11,suspicious_to_suspicious
LU321014677824433731,LU821014891751881002,PEER_1,PEER_1,8791.8,2020-06-17,suspicious_to_suspicious
LU581014677824433731,LU161014891751881002,PEER_1,PEER_1,8791.8,2020-06-17,suspicious_to_suspicious
LU324014490638614840,LU101015864367959880,PEER_4,PEER_1,1279.21,2020-06-17,suspicious_to_suspicious
LU344014490638614840,LU381015864367959880,PEER_4,PEER_1,1279.21,2020-06-17,suspicious_to_suspicious
LU374014490638614840,LU491015864367959880,PEER_4,PEER_1,1279.21,2020-06-17,suspicious_to_suspicious
LU721014921644966726,LU291014891751881002,PEER_1,PEER_1,1047.66,2020-06-17,suspicious_to_suspicious
LU821014921644966726,LU271014891751881002,PEER_1,PEER_1,1047.66,2020-06-17,suspicious_to_suspicious
LU601014891751881002,LU451014921644966726,PEER_1,PEER_1,883.25,2020-06-17,suspicious_to_suspicious
LU431014891751881002,LU691014921644966726,PEER_1,PEER_1,883.25,2020-06-17,suspicious_to_suspicious
LU832015998393836429,LU521016085677591342,PEER_2,PEER_1,646.71,2020-06-17,suspicious_to_suspicious
LU702015998393836429,LU421016085677591342,PEER_2,PEER_1,646.71,2020-06-17,suspicious_to_suspicious
LU372015998393836429,LU751016085677591342,PEER_2,PEER_1,646.71,2020-06-17,suspicious_to_suspicious
LU171014677824433731,LU501014891751881002,PEER_1,PEER_1,509.06,2020-06-17,suspicious_to_suspicious
LU601014677824433731,LU341014891751881002,PEER_1,PEER_1,509.06,2020-06-17,suspicious_to_suspicious
LU361016085677591342,LU903016058037382297,PEER_1,PEER_3,407.23,2020-06-17,suspicious_to_suspicious
LU591016085677591342,LU503016058037382297,PEER_1,PEER_3,407.23,2020-06-17,suspicious_to_suspicious
LU241016085677591342,LU303016058037382297,PEER_1,PEER_3,407.23,2020-06-17,suspicious_to_suspicious
LU221014921644966726,LU991014891751881002,PEER_1,PEER_1,382.32,2020-06-17,suspicious_to_suspicious
LU111014921644966726,LU941014891751881002,PEER_1,PEER_1,382.32,2020-06-17,suspicious_to_suspicious
LU171014921644966726,LU231014891751881002,PEER_1,PEER_1,304.93,2020-06-17,suspicious_to_suspicious
LU881014921644966726,LU991014891751881002,PEER_1,PEER_1,304.93,2020-06-17,suspicious_to_suspicious
LU793016058037382297,LU951016085677591342,PEER_3,PEER_1,214.67,2020-06-17,suspicious_to_suspicious
LU813016058037382297,LU361016085677591342,PEER_3,PEER_1,214.67,2020-06-17,suspicious_to_suspicious
LU283016058037382297,LU211016085677591342,PEER_3,PEER_1,214.67,2020-06-17,suspicious_to_suspicious
LU551014891751881002,LU892016015054340531,PEER_1,PEER_2,122.69,2020-06-17,suspicious_to_suspicious
LU371014891751881002,LU502016015054340531,PEER_1,PEER_2,122.69,2020-06-17,suspicious_to_suspicious
LU541014891751881002,LU732016015054340531,PEER_1,PEER_2,122.69,2020-06-17,suspicious_to_suspicious
LU731014891751881002,LU612016015054340531,PEER_1,PEER_2,83.66,2020-06-17,suspicious_to_suspicious
LU761014891751881002,LU392016015054340531,PEER_1,PEER_2,83.66,2020-06-17,suspicious_to_suspicious
LU841014891751881002,LU292016015054340531,PEER_1,PEER_2,83.66,2020-06-17,suspicious_to_suspicious
LU821015864367959880,LU964014490638614840,PEER_1,PEER_4,60.93,2020-06-17,suspicious_to_suspicious
LU801015864367959880,LU314014490638614840,PEER_1,PEER_4,60.93,2020-06-17,suspicious_to_suspicious
LU471015864367959880,LU244014490638614840,PEER_1,PEER_4,60.93,2020-06-17,suspicious_to_suspicious
LU321016085677591342,LU563016058037382297,PEER_1,PEER_3,56.64,2020-06-17,suspicious_to_suspicious
LU401016085677591342,LU253016058037382297,PEER_1,PEER_3,56.64,2020-06-17,suspicious_to_suspicious
LU961016085677591342,LU673016058037382297,PEER_1,PEER_3,56.64,2020-06-17,suspicious_to_suspicious
LU133016058037382297,LU501016085677591342,PEER_3,PEER_1,56.18,2020-06-17,suspicious_to_suspicious
LU633016058037382297,LU351016085677591342,PEER_3,PEER_1,56.18,2020-06-17,suspicious_to_suspicious
LU423016058037382297,LU491016085677591342,PEER_3,PEER_1,56.18,2020-06-17,suspicious_to_suspicious
LU491014891751881002,LU801014677824433731,PEER_1,PEER_1,5288.51,2020-06-16,suspicious_to_suspicious
LU871014891751881002,LU661014677824433731,PEER_1,PEER_1,5288.51,2020-06-16,suspicious_to_suspicious
LU891014648286090803,LU541014819991007326,PEER_1,PEER_1,743.24,2020-06-16,suspicious_to_suspicious
LU311014648286090803,LU241014819991007326,PEER_1,PEER_1,743.24,2020-06-16,suspicious_to_suspicious
LU421016085677591342,LU103016058037382297,PEER_1,PEER_3,517.96,2020-06-16,suspicious_to_suspicious
LU431016085677591342,LU863016058037382297,PEER_1,PEER_3,517.96,2020-06-16,suspicious_to_suspicious
LU881016085677591342,LU813016058037382297,PEER_1,PEER_3,517.96,2020-06-16,suspicious_to_suspicious
LU333015474500323883,LU521014921644966726,PEER_3,PEER_1,313.1,2020-06-16,suspicious_to_suspicious
LU623015474500323883,LU411014921644966726,PEER_3,PEER_1,313.1,2020-06-16,suspicious_to_suspicious
LU303015474500323883,LU411014921644966726,PEER_3,PEER_1,313.1,2020-06-16,suspicious_to_suspicious
LU631016085677591342,LU902015998393836429,PEER_1,PEER_2,297.01,2020-06-16,suspicious_to_suspicious
LU851016085677591342,LU252015998393836429,PEER_1,PEER_2,297.01,2020-06-16,suspicious_to_suspicious
LU991016085677591342,LU452015998393836429,PEER_1,PEER_2,297.01,2020-06-16,suspicious_to_suspicious
LU801014677824433731,LU781014891751881002,PEER_1,PEER_1,129.23,2020-06-16,suspicious_to_suspicious
LU731014677824433731,LU401014891751881002,PEER_1,PEER_1,129.23,2020-06-16,suspicious_to_suspicious
LU201014891751881002,LU742016015054340531,PEER_1,PEER_2,114.54,2020-06-16,suspicious_to_suspicious
LU821014891751881002,LU802016015054340531,PEER_1,PEER_2,114.54,2020-06-16,suspicious_to_suspicious
LU801014891751881002,LU762016015054340531,PEER_1,PEER_2,114.54,2020-06-16,suspicious_to_suspicious
LU791014921644966726,LU693015474500323883,PEER_1,PEER_3,109.47,2020-06-16,suspicious_to_suspicious
LU911014921644966726,LU683015474500323883,PEER_1,PEER_3,109.47,2020-06-16,suspicious_to_suspicious
LU971014921644966726,LU383015474500323883,PEER_1,PEER_3,109.47,2020-06-16,suspicious_to_suspicious
LU351014677824433731,LU931014891751881002,PEER_1,PEER_1,85.07,2020-06-16,suspicious_to_suspicious
LU391014677824433731,LU541014891751881002,PEER_1,PEER_1,85.07,2020-06-16,suspicious_to_suspicious
LU651014648286090803,LU701014819991007326,PEER_1,PEER_1,73.95,2020-06-16,suspicious_to_suspicious
LU621014648286090803,LU101014819991007326,PEER_1,PEER_1,73.95,2020-06-16,suspicious_to_suspicious
LU391014891751881002,LU231014677824433731,PEER_1,PEER_1,66.76,2020-06-16,suspicious_to_suspicious
LU611014891751881002,LU841014677824433731,PEER_1,PEER_1,66.76,2020-06-16,suspicious_to_suspicious
LU711014677824433731,LU891014891751881002,PEER_1,PEER_1,46.89,2020-06-16,suspicious_to_suspicious
LU791014677824433731,LU741014891751881002,PEER_1,PEER_1,46.89,2020-06-16,suspicious_to_suspicious
LU221014891751881002,LU282016015054340531,PEER_1,PEER_2,32.12,2020-06-16,suspicious_to_suspicious
LU631014891751881002,LU422016015054340531,PEER_1,PEER_2,32.12,2020-06-16,suspicious_to_suspicious
LU781014891751881002,LU362016015054340531,PEER_1,PEER_2,32.12,2020-06-16,suspicious_to_suspicious
LU171014921644966726,LU761014891751881002,PEER_1,PEER_1,4231.46,2020-06-15,suspicious_to_suspicious
LU611014921644966726,LU321014891751881002,PEER_1,PEER_1,4231.46,2020-06-15,suspicious_to_suspicious
LU611014891751881002,LU632016015054340531,PEER_1,PEER_2,1876.0,2020-06-15,suspicious_to_suspicious
LU751014891751881002,LU682016015054340531,PEER_1,PEER_2,1876.0,2020-06-15,suspicious_to_suspicious
LU111014891751881002,LU162016015054340531,PEER_1,PEER_2,1876.0,2020-06-15,suspicious_to_suspicious
LU201014677824433731,LU461014891751881002,PEER_1,PEER_1,1584.26,2020-06-15,suspicious_to_suspicious
LU251014677824433731,LU351014891751881002,PEER_1,PEER_1,1584.26,2020-06-15,suspicious_to_suspicious
LU171014921644966726,LU333015474500323883,PEER_1,PEER_3,1489.52,2020-06-15,suspicious_to_suspicious
LU141014921644966726,LU703015474500323883,PEER_1,PEER_3,1489.52,2020-06-15,suspicious_to_suspicious
LU391014921644966726,LU323015474500323883,PEER_1,PEER_3,1489.52,2020-06-15,suspicious_to_suspicious
LU901014891751881002,LU921014677824433731,PEER_1,PEER_1,1389.95,2020-06-15,suspicious_to_suspicious
LU941014891751881002,LU841014677824433731,PEER_1,PEER_1,1389.95,2020-06-15,suspicious_to_suspicious
LU203016058037382297,LU391016085677591342,PEER_3,PEER_1,629.72,2020-06-15,suspicious_to_suspicious
LU343016058037382297,LU311016085677591342,PEER_3,PEER_1,629.72,2020-06-15,suspicious_to_suspicious
LU333016058037382297,LU261016085677591342,PEER_3,PEER_1,629.72,2020-06-15,suspicious_to_suspicious
LU462015998393836429,LU331016085677591342,PEER_2,PEER_1,574.14,2020-06-15,suspicious_to_suspicious
LU742015998393836429,LU891016085677591342,PEER_2,PEER_1,574.14,2020-06-15,suspicious_to_suspicious
LU382015998393836429,LU141016085677591342,PEER_2,PEER_1,574.14,2020-06-15,suspicious_to_suspicious
LU371014648286090803,LU131014819991007326,PEER_1,PEER_1,534.77,2020-06-15,suspicious_to_suspicious
LU661014648286090803,LU521014819991007326,PEER_1,PEER_1,534.77,2020-06-15,suspicious_to_suspicious
LU651014677824433731,LU881014891751881002,PEER_1,PEER_1,395.82,2020-06-15,suspicious_to_suspicious
LU191014677824433731,LU211014891751881002,PEER_1,PEER_1,395.82,2020-06-15,suspicious_to_suspicious
LU223016058037382297,LU821016085677591342,PEER_3,PEER_1,306.18,2020-06-15,suspicious_to_suspicious
LU723016058037382297,LU561016085677591342,PEER_3,PEER_1,306.18,2020-06-15,suspicious_to_suspicious
